transaction_id,card_id,amount,currency,is_fraud,scenario_tag,dispute_status,dispute_reason_code,ce3_qualified,arbitration_fee_usd,rbi_liability_tier,rbi_provisional_credit_mandate_days,cfcfrms_1930_lien_status
TX_00000000,CARD_000410,1423.45,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000001,CARD_000410,3260.59,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000002,CARD_000410,2335.3,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000003,CARD_000410,2766.67,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000004,CARD_000410,890.65,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000005,CARD_000410,1441.1,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000006,CARD_000981,5929.01,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000007,CARD_000131,2623.54,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000008,CARD_000131,1478.2,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000009,CARD_000131,1623.76,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000010,CARD_000131,1210.18,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000011,CARD_000560,1762.45,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000012,CARD_000560,436.02,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000013,CARD_000227,2284.35,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000014,CARD_000227,2511.83,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000015,CARD_000227,1720.06,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000016,CARD_000227,3313.59,INR,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
