transaction_id,timestamp_utc,merchant_id,mid,tid,acquirer_bin,gateway_provider,client_ip,asn_type,ip_distance_from_home_km,device_canvas_hash,channel_type,avs_match_code,cvv_match_flag,geo_risk_score,is_cross_border
TX_00000000,2024-01-01T05:51:21.431378+00:00,M_6513_00022,MID_370001_000022,TID_0022,370001,ADYEN,72.30.177.51,mobile,12.7,65934c3a96a8e9b2,CNP_WEB,Y,1,0,False
TX_00000001,2024-01-01T05:51:32.584126+00:00,M_5411_00008,MID_541234_000008,TID_0008,541234,BRAINTREE,72.32.213.114,residential,350.02,65934c3a96a8e9b2,CNP_MOBILE,Y,1,0,False
TX_00000002,2024-01-01T07:21:49.383280+00:00,M_5999_00142,MID_400012_000142,TID_0142,400012,STRIPE,127.0.0.1,residential,16.02,6d955cc5f10d6186,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000003,2024-01-01T07:26:13.881049+00:00,M_5411_00058,MID_541234_000058,TID_0058,541234,BRAINTREE,72.118.58.24,mobile,15.8,6d955cc5f10d6186,CNP_WEB,Y,1,0,False
TX_00000004,2024-01-01T07:40:20.514126+00:00,M_5411_00027,MID_412800_000027,TID_0027,412800,STRIPE,72.143.178.90,mobile,9.08,6d955cc5f10d6186,CNP_WEB,Y,1,0,False
TX_00000005,2024-01-01T07:46:49.454935+00:00,M_4816_00011,MID_400012_000011,TID_0011,400012,CYBERSOURCE,72.97.119.126,residential,1.1,6d955cc5f10d6186,CNP_WEB,Y,1,0,False
TX_00000006,2024-01-01T07:50:12.003504+00:00,M_5732_00082,MID_541234_000082,TID_0082,541234,STRIPE,127.0.0.1,residential,15.43,6d955cc5f10d6186,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000007,2024-01-01T07:54:01.975101+00:00,M_6051_00023,MID_370001_000023,TID_0023,370001,CYBERSOURCE,72.20.230.94,residential,15.96,6d955cc5f10d6186,CNP_WEB,A,1,0,False
TX_00000008,2024-01-01T08:29:08.446870+00:00,M_5812_00021,MID_370001_000021,TID_0021,370001,CYBERSOURCE,127.0.0.1,residential,20.91,9fa368bdd3a42f96,CP_POS_CONTACTLESS,Y,1,0,False
TX_00000009,2024-01-01T08:38:26.816755+00:00,M_5812_00021,MID_370001_000021,TID_0021,370001,CYBERSOURCE,127.0.0.1,residential,20.76,9fa368bdd3a42f96,CP_POS_CONTACTLESS,Y,1,0,False
