transaction_id,card_id,amount,currency,is_fraud,scenario_tag,dispute_status,dispute_reason_code,ce3_qualified,arbitration_fee_usd,rbi_liability_tier,rbi_provisional_credit_mandate_days,cfcfrms_1930_lien_status
TX_00000000,CARD_000126,144.55,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000001,CARD_000126,70.63,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000002,CARD_000401,59.21,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000003,CARD_000401,16.28,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000004,CARD_000401,46.63,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000005,CARD_000401,84.09,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000006,CARD_000401,52.57,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000007,CARD_000401,9.65,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000008,CARD_000493,6.75,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000009,CARD_000493,28.2,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000010,CARD_000690,28.97,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000011,CARD_000690,22.7,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000012,CARD_000493,16.69,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000013,CARD_000493,864.45,USD,0,HARD_NEGATIVE_EMERGENCY,NONE,,False,0.0,,0,NO_LIEN
TX_00000014,CARD_000690,9.82,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
TX_00000015,CARD_000690,27.66,USD,0,ORGANIC_NORMAL,NONE,,False,0.0,,0,NO_LIEN
